month,total.total,timeRange.start,timeRange.end
2009-07-28T00:00:00.000Z,896,2009-07-28T00:00:00.000Z,2009-07-29T00:00:00.000Z
2009-07-29T00:00:00.000Z,875,2009-07-29T00:00:00.000Z,2009-07-30T00:00:00.000Z
2009-07-30T00:00:00.000Z,896,2009-07-30T00:00:00.000Z,2009-07-31T00:00:00.000Z
2009-07-31T00:00:00.000Z,755,2009-07-31T00:00:00.000Z,2009-08-01T00:00:00.000Z
2009-08-01T00:00:00.000Z,763,2009-08-01T00:00:00.000Z,2009-08-02T00:00:00.000Z
2009-08-02T00:00:00.000Z,805,2009-08-02T00:00:00.000Z,2009-08-03T00:00:00.000Z
2009-08-03T00:00:00.000Z,903,2009-08-03T00:00:00.000Z,2009-08-04T00:00:00.000Z
2009-08-04T00:00:00.000Z,873,2009-08-04T00:00:00.000Z,2009-08-05T00:00:00.000Z
2009-08-05T00:00:00.000Z,842,2009-08-05T00:00:00.000Z,2009-08-06T00:00:00.000Z
2009-08-06T00:00:00.000Z,866,2009-08-06T00:00:00.000Z,2009-08-07T00:00:00.000Z
2009-08-07T00:00:00.000Z,819,2009-08-07T00:00:00.000Z,2009-08-08T00:00:00.000Z
2009-08-08T00:00:00.000Z,756,2009-08-08T00:00:00.000Z,2009-08-09T00:00:00.000Z
2009-08-09T00:00:00.000Z,780,2009-08-09T00:00:00.000Z,2009-08-10T00:00:00.000Z
2009-08-10T00:00:00.000Z,839,2009-08-10T00:00:00.000Z,2009-08-11T00:00:00.000Z
2009-08-11T00:00:00.000Z,869,2009-08-11T00:00:00.000Z,2009-08-12T00:00:00.000Z
2009-08-12T00:00:00.000Z,778,2009-08-12T00:00:00.000Z,2009-08-13T00:00:00.000Z
2009-08-13T00:00:00.000Z,830,2009-08-13T00:00:00.000Z,2009-08-14T00:00:00.000Z
2009-08-14T00:00:00.000Z,850,2009-08-14T00:00:00.000Z,2009-08-15T00:00:00.000Z
2009-08-15T00:00:00.000Z,779,2009-08-15T00:00:00.000Z,2009-08-16T00:00:00.000Z
2009-08-16T00:00:00.000Z,751,2009-08-16T00:00:00.000Z,2009-08-17T00:00:00.000Z
2009-08-17T00:00:00.000Z,841,2009-08-17T00:00:00.000Z,2009-08-18T00:00:00.000Z
2009-08-18T00:00:00.000Z,888,2009-08-18T00:00:00.000Z,2009-08-19T00:00:00.000Z
2009-08-19T00:00:00.000Z,851,2009-08-19T00:00:00.000Z,2009-08-20T00:00:00.000Z
2009-08-20T00:00:00.000Z,820,2009-08-20T00:00:00.000Z,2009-08-21T00:00:00.000Z
2009-08-21T00:00:00.000Z,839,2009-08-21T00:00:00.000Z,2009-08-22T00:00:00.000Z
2009-08-22T00:00:00.000Z,745,2009-08-22T00:00:00.000Z,2009-08-23T00:00:00.000Z
2009-08-23T00:00:00.000Z,781,2009-08-23T00:00:00.000Z,2009-08-24T00:00:00.000Z
2009-08-24T00:00:00.000Z,931,2009-08-24T00:00:00.000Z,2009-08-25T00:00:00.000Z
2009-08-25T00:00:00.000Z,930,2009-08-25T00:00:00.000Z,2009-08-26T00:00:00.000Z
2009-08-26T00:00:00.000Z,889,2009-08-26T00:00:00.000Z,2009-08-27T00:00:00.000Z
2009-08-27T00:00:00.000Z,911,2009-08-27T00:00:00.000Z,2009-08-28T00:00:00.000Z
2009-08-28T00:00:00.000Z,903,2009-08-28T00:00:00.000Z,2009-08-29T00:00:00.000Z
2009-08-29T00:00:00.000Z,810,2009-08-29T00:00:00.000Z,2009-08-30T00:00:00.000Z
2009-08-30T00:00:00.000Z,851,2009-08-30T00:00:00.000Z,2009-08-31T00:00:00.000Z
2009-08-31T00:00:00.000Z,915,2009-08-31T00:00:00.000Z,2009-09-01T00:00:00.000Z
2009-09-01T00:00:00.000Z,908,2009-09-01T00:00:00.000Z,2009-09-02T00:00:00.000Z
2009-09-02T00:00:00.000Z,933,2009-09-02T00:00:00.000Z,2009-09-03T00:00:00.000Z
2009-09-03T00:00:00.000Z,874,2009-09-03T00:00:00.000Z,2009-09-04T00:00:00.000Z
2009-09-04T00:00:00.000Z,819,2009-09-04T00:00:00.000Z,2009-09-05T00:00:00.000Z
2009-09-05T00:00:00.000Z,816,2009-09-05T00:00:00.000Z,2009-09-06T00:00:00.000Z
2009-09-06T00:00:00.000Z,841,2009-09-06T00:00:00.000Z,2009-09-07T00:00:00.000Z
