creation_year	parent_page_title	year	revid	num_ills_that_year
2002.0	Wikipedia:Citing sources	2013	1860	5
2002.0	Wikipedia:Citing sources	2014	933	5
2002.0	Wikipedia:Citing sources	2015	802	5
2002.0	Wikipedia:Citing sources	2016	905	5
2002.0	Wikipedia:Citing sources	2017	867	5
2002.0	Wikipedia:Citing sources	2018	886	5
2002.0	Wikipedia:Citing sources	2019	543	5
2002.0	Wikipedia:Citing sources	2020	841	5
2002.0	Wikipedia:Copyrights	2002	52	3
2002.0	Wikipedia:Copyrights	2003	189	4
2002.0	Wikipedia:Copyrights	2004	324	4
2002.0	Wikipedia:Copyrights	2005	282	4
2002.0	Wikipedia:Copyrights	2006	776	4
2002.0	Wikipedia:Copyrights	2007	681	4
2002.0	Wikipedia:Copyrights	2008	543	5
2002.0	Wikipedia:Copyrights	2009	603	5
2002.0	Wikipedia:Copyrights	2010	217	5
2002.0	Wikipedia:Copyrights	2011	111	5
2002.0	Wikipedia:Copyrights	2012	528	5
2002.0	Wikipedia:Copyrights	2013	154	5
2002.0	Wikipedia:Copyrights	2014	46	5
2002.0	Wikipedia:Copyrights	2015	69	5
2002.0	Wikipedia:Copyrights	2016	104	5
2002.0	Wikipedia:Copyrights	2017	169	5
2002.0	Wikipedia:Copyrights	2018	74	5
2002.0	Wikipedia:Copyrights	2019	164	5
2002.0	Wikipedia:Copyrights	2020	54	5
2002.0	Wikipedia:Disambiguation	2002	509	3
2002.0	Wikipedia:Disambiguation	2003	102	3
2002.0	Wikipedia:Disambiguation	2004	294	4
2002.0	Wikipedia:Disambiguation	2005	646	4
2002.0	Wikipedia:Disambiguation	2006	1324	4
2002.0	Wikipedia:Disambiguation	2007	990	4
2002.0	Wikipedia:Disambiguation	2008	1436	4
2002.0	Wikipedia:Disambiguation	2009	1087	4
2002.0	Wikipedia:Disambiguation	2010	1715	5
2002.0	Wikipedia:Disambiguation	2011	1747	5
2002.0	Wikipedia:Disambiguation	2012	1150	5
2002.0	Wikipedia:Disambiguation	2013	2470	5
2002.0	Wikipedia:Disambiguation	2014	794	5
2002.0	Wikipedia:Disambiguation	2015	994	5
2002.0	Wikipedia:Disambiguation	2016	756	5
2002.0	Wikipedia:Disambiguation	2017	533	5
2002.0	Wikipedia:Disambiguation	2018	1633	5
2002.0	Wikipedia:Disambiguation	2019	1404	5
2002.0	Wikipedia:Disambiguation	2020	550	5
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2002	9	1
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2003	48	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2004	9	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2005	38	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2006	30	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2007	18	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2008	15	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2009	28	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2010	12	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2011	2	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2012	5	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2013	3	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2014	4	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2015	18	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2016	1	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2017	7	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2018	7	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2019	2	2
2002.0	Wikipedia:Do not include the full text of lengthy primary sources	2020	11	2
2002.0	Wikipedia:Ignore all rules	2002	15	1
2002.0	Wikipedia:Ignore all rules	2003	18	3
2002.0	Wikipedia:Ignore all rules	2004	60	3
2002.0	Wikipedia:Ignore all rules	2005	579	3
2002.0	Wikipedia:Ignore all rules	2006	1353	5
2002.0	Wikipedia:Ignore all rules	2007	4147	5
2002.0	Wikipedia:Ignore all rules	2008	2623	5
2002.0	Wikipedia:Ignore all rules	2009	630	5
2002.0	Wikipedia:Ignore all rules	2010	286	5
2002.0	Wikipedia:Ignore all rules	2011	165	5
2002.0	Wikipedia:Ignore all rules	2012	213	5
2002.0	Wikipedia:Ignore all rules	2013	220	5
2002.0	Wikipedia:Ignore all rules	2014	50	5
2002.0	Wikipedia:Ignore all rules	2015	136	5
2002.0	Wikipedia:Ignore all rules	2016	247	5
2002.0	Wikipedia:Ignore all rules	2017	103	5
2002.0	Wikipedia:Ignore all rules	2018	156	5
2002.0	Wikipedia:Ignore all rules	2019	109	5
2002.0	Wikipedia:Ignore all rules	2020	41	5
2002.0	Wikipedia:Image use policy	2002	59	1
2002.0	Wikipedia:Image use policy	2003	367	3
2002.0	Wikipedia:Image use policy	2004	158	4
2002.0	Wikipedia:Image use policy	2005	168	5
2002.0	Wikipedia:Image use policy	2006	622	5
2002.0	Wikipedia:Image use policy	2007	514	5
2002.0	Wikipedia:Image use policy	2008	680	5
2002.0	Wikipedia:Image use policy	2009	887	5
2002.0	Wikipedia:Image use policy	2010	420	5
2002.0	Wikipedia:Image use policy	2011	428	5
2002.0	Wikipedia:Image use policy	2012	155	5
2002.0	Wikipedia:Image use policy	2013	180	5
2002.0	Wikipedia:Image use policy	2014	344	5
2002.0	Wikipedia:Image use policy	2015	336	5
2002.0	Wikipedia:Image use policy	2016	266	5
2002.0	Wikipedia:Image use policy	2017	203	5
2002.0	Wikipedia:Image use policy	2018	222	5
2002.0	Wikipedia:Image use policy	2019	98	5
2002.0	Wikipedia:Image use policy	2020	84	5
2002.0	Wikipedia:Manual of Style/Layout	2002	16	1
2002.0	Wikipedia:Manual of Style/Layout	2003	48	2
2002.0	Wikipedia:Manual of Style/Layout	2004	68	3
2002.0	Wikipedia:Manual of Style/Layout	2005	68	4
2002.0	Wikipedia:Manual of Style/Layout	2006	292	4
2002.0	Wikipedia:Manual of Style/Layout	2007	456	4
2002.0	Wikipedia:Manual of Style/Layout	2008	1734	4
2002.0	Wikipedia:Manual of Style/Layout	2009	896	4
2002.0	Wikipedia:Manual of Style/Layout	2010	432	4
2002.0	Wikipedia:Manual of Style/Layout	2011	571	5
2002.0	Wikipedia:Manual of Style/Layout	2012	326	5
2002.0	Wikipedia:Manual of Style/Layout	2013	295	5
2002.0	Wikipedia:Manual of Style/Layout	2014	353	5
2002.0	Wikipedia:Manual of Style/Layout	2015	114	5
2002.0	Wikipedia:Manual of Style/Layout	2016	236	5
2002.0	Wikipedia:Manual of Style/Layout	2017	334	5
2002.0	Wikipedia:Manual of Style/Layout	2018	179	5
2002.0	Wikipedia:Manual of Style/Layout	2019	341	5
2002.0	Wikipedia:Manual of Style/Layout	2020	235	5
2002.0	Wikipedia:Naming conventions (Korean)	2002	14	1
2002.0	Wikipedia:Naming conventions (Korean)	2003	45	2
2002.0	Wikipedia:Naming conventions (Korean)	2004	160	2
2002.0	Wikipedia:Naming conventions (Korean)	2005	335	2
2002.0	Wikipedia:Naming conventions (Korean)	2006	115	2
2002.0	Wikipedia:Naming conventions (Korean)	2007	19	2
2002.0	Wikipedia:Naming conventions (Korean)	2008	60	2
2002.0	Wikipedia:Naming conventions (Korean)	2009	24	2
2002.0	Wikipedia:Naming conventions (Korean)	2010	3	2
2002.0	Wikipedia:Naming conventions (Korean)	2011	5	2
2002.0	Wikipedia:Naming conventions (Korean)	2012	50	2
2002.0	Wikipedia:Naming conventions (Korean)	2013	6	2
2002.0	Wikipedia:Naming conventions (Korean)	2014	10	2
